Cost Center,Budget Orgn,Budget Unit,Account,Account Title,2021-2022 FTE,2022-2023 FTE,2022-2023 Approved,2022-2023 Adopted,Fund,Fund Title,Budget Organization Number,Budget Organization Name,Budget Term,Budget Year,Cost Center Name,Amount
1.0,1001225001320000 - OUT DIST/SPED,100-1225-001-320,371.0,TUITION W/IN STATE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1001225001320000,OUT DIST/SPED,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1001225001320000 - OUT DIST/SPED,100-1225-001-320,371.0,TUITION W/IN STATE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1001225001320000,OUT DIST/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001225001320000 - OUT DIST/SPED,100-1225-001-320,371.0,TUITION W/IN STATE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1001225001320000,OUT DIST/SPED,2021-2022 Budget,2021-01-01,District Office,135000.0
1.0,1001225001320000 - OUT DIST/SPED,100-1225-001-320,371.0,TUITION W/IN STATE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1001225001320000,OUT DIST/SPED,2022-2023 Proposed,2022-01-01,District Office,0.0
1.0,1001226001320000 - HOME INST/SPED,100-1226-001-320,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1001226001320000,HOME INST/SPED,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1001226001320000 - HOME INST/SPED,100-1226-001-320,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1001226001320000,HOME INST/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001226001320000 - HOME INST/SPED,100-1226-001-320,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1001226001320000,HOME INST/SPED,2021-2022 Budget,2021-01-01,District Office,100.0
1.0,1001226001320000 - HOME INST/SPED,100-1226-001-320,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1001226001320000,HOME INST/SPED,2022-2023 Proposed,2022-01-01,District Office,100.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2019-2020 Actual,2019-01-01,District Office,96.86
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2020-2021 Actual,2020-01-01,District Office,0.0
