Cost Center,Budget Orgn,Budget Unit,Account,Account Title,2020-2021 Actual,2021-2022 Actual,2022-2023 Budget,2022-2023 FTE,2023-2024 Proposed,2023-2024 FTE,2023-2024 Approved,2023-2024 Adopted,Fund,Fund Title
001,1001221001320000 - SLC SPED SECONDARY,100-1221-001-320,340.0,TRAVEL,0.0,26.43,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001225001320000 - OUT DIST/SPED,100-1225-001-320,371.0,TUITION W/IN STATE,43756.74,21624.7,0.0,0.0,1000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001226001320000 - HOME INST/SPED,100-1226-001-320,340.0,TRAVEL,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,131.0,PREMIUM PAY,0.0,1285.68,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,211.0,PERS EMPLOYER CONTRIBUTN,0.0,87.98,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,212.0,PERS PICK-UP,0.0,41.19,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,213.0,PERS UAL SERIES 2002,0.0,75.08,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,214.0,PERS UAL SERIES 2003,0.0,104.91,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,220.0,SOC SEC ADMIN,0.0,93.45,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,231.0,WRKRS COMP,0.0,4.46,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001288001000000 - CHARTER SCHOOLS,100-1288-001-000,360.0,CHART SCHOOL PAYMENT,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,340.0,TRAVEL,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,1300.0,0.0,300.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,111.0,LIC SALARIES,78910.79,79919.0,105500.0,1.5,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,131.0,PREMIUM PAY,0.0,1862.91,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,211.0,PERS EMPLOYER CONTRIBUTN,8479.07,6122.77,13387.86,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,212.0,PERS PICK-UP,0.0,36.75,7867.73,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,213.0,PERS UAL SERIES 2002,6249.08,4776.06,7211.22,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,214.0,PERS UAL SERIES 2003,4799.74,6673.42,5905.09,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,220.0,SOC SEC ADMIN,5863.09,6033.52,8281.75,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,231.0,WRKRS COMP,271.43,278.08,580.25,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,241.0,MED-DEN-VIS,17003.4,17224.68,17804.64,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,242.0,OTHER CONTRACTED BENES,1000.0,1000.0,422.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
