Cost Center,Budget Orgn,Budget Unit,Account,Account Title,Fund,Fund Title,Budget Organization Number,Budget Organization Name,Budget Term,Budget Year,Cost Center Name,Amount
1.0,1001221001320000 - SLC SPED SECONDARY,100-1221-001-320,340.0,TRAVEL,100,GENERAL FUND,1001221001320000,SLC SPED SECONDARY,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001221001320000 - SLC SPED SECONDARY,100-1221-001-320,340.0,TRAVEL,100,GENERAL FUND,1001221001320000,SLC SPED SECONDARY,2021-2022 Actual,2021-01-01,District Office,26.43
1.0,1001221001320000 - SLC SPED SECONDARY,100-1221-001-320,340.0,TRAVEL,100,GENERAL FUND,1001221001320000,SLC SPED SECONDARY,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1001221001320000 - SLC SPED SECONDARY,100-1221-001-320,340.0,TRAVEL,100,GENERAL FUND,1001221001320000,SLC SPED SECONDARY,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1001225001320000 - OUT DIST/SPED,100-1225-001-320,371.0,TUITION W/IN STATE,100,GENERAL FUND,1001225001320000,OUT DIST/SPED,2020-2021 Actual,2020-01-01,District Office,43756.74
1.0,1001225001320000 - OUT DIST/SPED,100-1225-001-320,371.0,TUITION W/IN STATE,100,GENERAL FUND,1001225001320000,OUT DIST/SPED,2021-2022 Actual,2021-01-01,District Office,21624.7
1.0,1001225001320000 - OUT DIST/SPED,100-1225-001-320,371.0,TUITION W/IN STATE,100,GENERAL FUND,1001225001320000,OUT DIST/SPED,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1001225001320000 - OUT DIST/SPED,100-1225-001-320,371.0,TUITION W/IN STATE,100,GENERAL FUND,1001225001320000,OUT DIST/SPED,2023-2024 Proposed,2023-01-01,District Office,1000.0
1.0,1001226001320000 - HOME INST/SPED,100-1226-001-320,340.0,TRAVEL,100,GENERAL FUND,1001226001320000,HOME INST/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001226001320000 - HOME INST/SPED,100-1226-001-320,340.0,TRAVEL,100,GENERAL FUND,1001226001320000,HOME INST/SPED,2021-2022 Actual,2021-01-01,District Office,0.0
1.0,1001226001320000 - HOME INST/SPED,100-1226-001-320,340.0,TRAVEL,100,GENERAL FUND,1001226001320000,HOME INST/SPED,2022-2023 Budget,2022-01-01,District Office,100.0
1.0,1001226001320000 - HOME INST/SPED,100-1226-001-320,340.0,TRAVEL,100,GENERAL FUND,1001226001320000,HOME INST/SPED,2023-2024 Proposed,2023-01-01,District Office,100.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,131.0,PREMIUM PAY,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,131.0,PREMIUM PAY,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2021-2022 Actual,2021-01-01,District Office,1285.68
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,131.0,PREMIUM PAY,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,131.0,PREMIUM PAY,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2021-2022 Actual,2021-01-01,District Office,87.98
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,212.0,PERS PICK-UP,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,212.0,PERS PICK-UP,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2021-2022 Actual,2021-01-01,District Office,41.19
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,212.0,PERS PICK-UP,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,212.0,PERS PICK-UP,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,213.0,PERS UAL SERIES 2002,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,213.0,PERS UAL SERIES 2002,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2021-2022 Actual,2021-01-01,District Office,75.08
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,213.0,PERS UAL SERIES 2002,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,213.0,PERS UAL SERIES 2002,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,214.0,PERS UAL SERIES 2003,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,214.0,PERS UAL SERIES 2003,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2021-2022 Actual,2021-01-01,District Office,104.91
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,214.0,PERS UAL SERIES 2003,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,214.0,PERS UAL SERIES 2003,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
