Cost Center,Budget Orgn,Budget Unit,Account,Account Title,2021-2022 Actual,2022-2023 Actual,2023-2024 Budget,2023-2024 FTE,2024-2025 Proposed,2024-2025 FTE,2024-2025 Approved,2024-2025 Adopted,Fund,Fund Title
001,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,112.0,CLASS SALARIES,0.0,27.68,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,211.0,PERS EMPLOYER CONTRIBUTN,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,212.0,PERS PICK-UP,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,213.0,PERS UAL SERIES 2002,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,214.0,PERS UAL SERIES 2003,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,220.0,SOC SEC ADMIN,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001221001320000 - SLC SPED SECONDARY,100-1221-001-320,340.0,TRAVEL,26.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001225001320000 - OUT DIST/SPED,100-1225-001-320,371.0,TUITION W/IN STATE,21624.7,29056.0,1000.0,0.0,1000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001226001320000 - HOME INST/SPED,100-1226-001-320,340.0,TRAVEL,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,131.0,PREMIUM PAY,1285.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,211.0,PERS EMPLOYER CONTRIBUTN,87.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,212.0,PERS PICK-UP,41.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
