Cost Center,Budget Orgn,Budget Unit,Account,Account Title,Fund,Fund Title,Budget Organization Number,Budget Organization Name,Budget Term,Budget Year,Cost Center Name,Amount
1,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,112.0,CLASS SALARIES,100,GENERAL FUND,1001220001320000,RESTRICTIVE PROG/SPED,2021-2022 Actual,2021-01-01,District Office,0.0
1,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,112.0,CLASS SALARIES,100,GENERAL FUND,1001220001320000,RESTRICTIVE PROG/SPED,2022-2023 Actual,2022-01-01,District Office,27.68
1,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,112.0,CLASS SALARIES,100,GENERAL FUND,1001220001320000,RESTRICTIVE PROG/SPED,2023-2024 Budget,2023-01-01,District Office,0.0
1,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,112.0,CLASS SALARIES,100,GENERAL FUND,1001220001320000,RESTRICTIVE PROG/SPED,2024-2025 Proposed,2024-01-01,District Office,0.0
1,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1001220001320000,RESTRICTIVE PROG/SPED,2021-2022 Actual,2021-01-01,District Office,0.0
1,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1001220001320000,RESTRICTIVE PROG/SPED,2022-2023 Actual,2022-01-01,District Office,1.22
1,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1001220001320000,RESTRICTIVE PROG/SPED,2023-2024 Budget,2023-01-01,District Office,0.0
1,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1001220001320000,RESTRICTIVE PROG/SPED,2024-2025 Proposed,2024-01-01,District Office,0.0
1,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,212.0,PERS PICK-UP,100,GENERAL FUND,1001220001320000,RESTRICTIVE PROG/SPED,2021-2022 Actual,2021-01-01,District Office,0.0
1,1001220001320000 - RESTRICTIVE PROG/SPED,100-1220-001-320,212.0,PERS PICK-UP,100,GENERAL FUND,1001220001320000,RESTRICTIVE PROG/SPED,2022-2023 Actual,2022-01-01,District Office,1.66
